pitch_rad,pitch_rate_rad,yaw_rad,yaw_rate_rad,pwm
-0.004527,-0.003533,-0.068854,0.00174,3.0
-0.004363,0.015119,-0.068802,-0.000392,3.0
-0.003737,0.030041,-0.068783,-0.000392,1.0
-0.002905,0.035104,-0.068754,0.00174,0.0
-0.002123,0.023646,-0.068755,0.000674,-1.0
-0.00181,-6.9e-05,-0.068715,-0.000658,-2.0
-0.002304,-0.029114,-0.068678,0.000941,0.0
-0.003333,-0.040039,-0.068677,0.00174,1.0
-0.004686,-0.048832,-0.068659,0.001474,4.0
-0.005915,-0.043236,-0.068613,0.003072,7.0
-0.006841,-0.014192,-0.0686,-0.00279,9.0
-0.006701,0.019649,-0.068751,-0.008119,9.0
-0.006185,0.034038,-0.068709,-0.001724,8.0
-0.005018,0.044163,-0.068724,-0.001724,6.0
-0.00391,0.040966,-0.06873,0.000941,3.0
-0.003121,0.020182,-0.068734,0.000408,2.0
-0.002872,-0.006731,-0.068725,0.002273,1.0
-0.003242,-0.02565,-0.068677,0.00174,2.0
-0.00411,-0.038706,-0.068676,0.000674,4.0
-0.005072,-0.028847,-0.068646,0.001207,7.0
-0.005557,-0.009395,-0.06863,0.000941,8.0
-0.0056,0.013254,-0.0686,0.002273,8.0
-0.004946,0.034837,-0.068602,0.000141,7.0
-0.004063,0.041232,-0.068599,0.001207,5.0
-0.003241,0.02711,-0.068587,0.002006,3.0
-0.002814,0.007125,-0.068583,0.000674,2.0
-0.003036,-0.016057,-0.068548,0.000408,3.0
-0.00376,-0.030446,-0.068547,0.000941,5.0
-0.004719,-0.03018,-0.068506,0.002006,7.0
-0.005365,-0.019521,-0.068502,0.000941,8.0
-0.005629,-6.9e-05,-0.068456,0.003072,9.0
-0.005483,0.016451,-0.068453,0.000674,9.0
-0.004996,0.02258,-0.068446,0.000408,8.0
-0.004497,0.019649,-0.068446,-0.000392,7.0
-0.004058,0.010589,-0.068405,-0.00199,6.0
-0.003954,0.001796,-0.068372,0.00174,6.0
-0.004041,-0.006997,-0.068367,0.000674,6.0
-0.004191,-0.006464,-0.068344,-0.000125,7.0
-0.004406,-0.007797,-0.068335,0.000141,7.0
-0.004671,-0.005132,-0.068361,-0.002257,8.0
-0.004921,-0.004333,-0.068325,0.001474,9.0
-0.00502,-0.004599,-0.068299,0.002539,9.0
-0.005018,0.003661,-0.068309,-0.001191,9.0
-0.004955,0.008191,-0.068306,-0.000658,9.0
-0.004793,0.011922,-0.068315,-0.001458,9.0
-0.004511,0.009523,-0.068295,0.001474,9.0
-0.004349,0.001263,-0.068292,0.002539,8.0
-0.004402,-0.002467,-0.068291,0.001207,9.0
-0.004636,-0.010461,-0.068267,0.000941,9.0
-0.004796,-0.004066,-0.068272,-0.004655,10.0
-0.005109,-0.006198,-0.068327,0.001474,11.0
-0.005031,0.008724,-0.068418,-0.003856,11.0
-0.004971,0.015918,-0.06844,-0.00199,11.0
-0.00473,0.018317,-0.068404,0.000941,10.0
-0.004232,0.014053,-0.068373,-0.001458,9.0
-0.003895,0.005526,-0.06834,0.000674,9.0
-0.00384,-0.004066,-0.068324,0.000408,9.0
-0.004191,-0.016323,-0.068274,0.002273,10.0
-0.004687,-0.017656,-0.068249,-0.000392,11.0
-0.005141,-0.014991,-0.068222,0.002539,12.0
-0.005419,-0.004866,-0.068238,-0.000392,13.0
-0.005335,0.00073,-0.068204,0.000408,13.0
-0.005191,0.007392,-0.068159,-0.001458,12.0
-0.004759,0.020715,-0.068145,0.001474,12.0
-0.004184,0.021248,-0.068124,0.002006,10.0
-0.003728,0.00899,-0.068117,-0.000125,9.0
-0.003761,-0.006198,-0.068107,0.001207,10.0
-0.004013,-0.013392,-0.068078,-0.001191,10.0
-0.00447,-0.016323,-0.068053,0.000141,12.0
-0.004869,-0.002734,-0.068019,0.000941,13.0
-0.00481,0.00979,-0.067999,0.002539,13.0
-0.004444,0.01432,-0.067964,0.001207,12.0
-0.004099,0.008458,-0.067955,0.000941,11.0
-0.004185,-0.006997,-0.067957,0.000674,12.0
-0.004591,-0.019521,-0.06793,0.000408,13.0
-0.0052,-0.020853,-0.067907,0.001207,14.0
-0.005517,-0.000602,-0.067854,0.000141,15.0
-0.005619,0.007392,-0.067847,0.002806,15.0
-0.005068,0.03084,-0.06783,0.001207,14.0
-0.004055,0.04443,-0.067821,0.00174,12.0
-0.002979,0.040167,-0.067803,0.00174,10.0
-0.001972,0.029242,-0.067802,0.000408,7.0
